,base_market,quote_market,hedge_ratio,half_life,intercept
72,XTZ-USD,XMR-USD,0.01694620198188758,6.0,-1.0052903756684364
73,XTZ-USD,RUNE-USD,0.12314857512300231,8.0,0.36433146990343185
74,XTZ-USD,DOGE-USD,6.543504651553276,6.0,-0.0040010979409196325
75,XTZ-USD,BTC-USD,3.9255943672795874e-05,6.0,-1.50493653512037
76,XTZ-USD,ETH-USD,0.0005835721702741256,6.0,-0.8022617306090039
77,XTZ-USD,ATOM-USD,0.11010089106364457,6.0,0.09179737220675971
78,LINK-USD,RUNE-USD,1.657248146693829,9.0,5.435355429145989
79,LINK-USD,COMP-USD,0.20829827540309756,9.0,2.671564059813604
80,LINK-USD,DOT-USD,2.080058416190105,9.0,-0.11943271215368512
81,LINK-USD,BTC-USD,0.0005321389984931584,7.0,-19.97326464724096
